Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status,Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,
Private Car,LEXUS,RX450HL,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2020,
Private Car,TOYOTA,PRIUS HYBRID,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2016,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,SUZUKI,SOLIO 2WD CVT MILD HYBRID,Petrol,1242,STATION WAGGON,A,-,4,"<= 150,000",2020,
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,B.M.W.,520IA SALOON M SPORT EDITION (G30),Petrol,1998,SALOON,A,-,4,"> 300,000 and <= 500,000",2019,
Private Car,B.M.W.,218IA GRAN TOURER (F46),Petrol,1499,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2016,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,NISSAN,STAGEA 260RS,Petrol,2568,STATION WAGGON,C2,-,4,"<= 150,000",1997,
Private Car,VOLVO,XC60 B5 MOMENTUM,Petrol,1969,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019,
Private Car,MAZDA,MAZDA2 IPM4 1.5 I-PLUS,Petrol,1496,SALOON,A,-,4,"<= 150,000",2020,
Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019,
Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2017,
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2020,
Private Car,HONDA,FIT HYBRID RS,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2012,
Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,ESTIMA,Petrol,2362,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2014,
Private Car,PORSCHE,718 BOXSTER SPYDER,Petrol,3995,CONVERTIBLE,A,-,1,"> 500,000",2020,
Private Car,TOYOTA,ESQUIRE,Petrol,1797,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2015,
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,HONDA,FIT HYBRID RS FINE STYLE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2013,
Private Car,KIA,STONIC 1.0T DCT,Petrol,998,STATION WAGGON,A,-,4,"<= 150,000",2020,
Private Car,MERCEDES BENZ,CLA250 COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2011,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,C2,-,6,"> 300,000 and <= 500,000",2019,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,CITROEN,C3 AIRCROSS,Petrol,1199,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,VELLFIRE Z FACELIFT,Petrol,2362,STATION WAGGON,C2,-,6,"<= 150,000",2012,
Private Car,TOYOTA,VITZ,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2014,
Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,GLE450 4M (V167),Petrol,2999,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019,
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,RENAULT,ZOE ZE40,Electric,-,SALOON,A,-,4,"> 150,000 and <= 300,000",2018,
Private Car,B.M.W.,320IA TOURING M SPORT EDITION (G21),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,MERCEDES BENZ,MERCEDES-AMG CLA35 4MATIC COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,VOXY,Petrol,1986,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2019,
Private Car,MERCEDES BENZ,S450 FACELIFT (V222),Petrol,2999,SALOON,A,-,4,"> 500,000",2019,
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,B.M.W.,218IA GRAN COUPE M SPORT EDITION (F44),Petrol,1499,SALOON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,ACCORD EURO R,Petrol,2156,SALOON,C2,-,4,"<= 150,000",2000,
Private Car,LEXUS,RX300,Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2019,
Private Car,NISSAN,CUBE 15X,Petrol,1498,STATION WAGGON,C2,-,4,"<= 150,000",2013,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,B220 (W247),Petrol,1991,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019,
Private Car,TOYOTA,CROWN HYBRID ATHLETE S,Petrol,2493,SALOON,C2,-,4,"> 150,000 and <= 300,000",2015,
Private Car,MERCEDES BENZ,GLE450 4M (V167),Petrol,2999,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,FREED,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,KIA,SPORTAGE PE GT-LINE,Petrol,1999,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2013,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,E200 COUPE (C238),Petrol,1991,SALOON,A,-,3,"> 300,000 and <= 500,000",2019,
Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,SIENTA HYBRID,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2015,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,VELLFIRE,Petrol,3456,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,PORTE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2015,
Private Car,MERCEDES BENZ,CLA250 COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,FIT HYBRID L PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,SUZUKI,JIMNY 1.5 4WD 4AT,Petrol,1462,STATION WAGGON,A,-,3,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,C2,-,6,"> 300,000 and <= 500,000",2019,
Private Car,HONDA,FIT HYBRID F PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2015,
Private Car,HONDA,FREED G JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,5,"<= 150,000",2012,
Private Car,B.M.W.,745LE XDRIVE SALOON (G12),Petrol,2998,SALOON,A,-,4,"> 500,000",2020,
Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,VELLFIRE,Petrol,2362,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2013,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MINI,MINI ONE COUNTRYMAN AUTOMATIC (F60),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,NOAH,Petrol,1987,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,ESTIMA,Petrol,2362,STATION WAGGON,C2,-,6,"<= 150,000",2010,
Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,PORSCHE,TAYCAN TURBO S,Electric,-,SALOON,A,-,3,"> 500,000",2020,
Private Car,MERCEDES BENZ,GLC300 4MATIC FACELIFT (X253),Petrol,1991,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,PORSCHE,718 BOXSTER SPYDER,Petrol,3995,CONVERTIBLE,A,-,1,"> 500,000",2020,
Private Car,HONDA,FIT HYBRID F PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2013,
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,MERCEDES BENZ,CLS450 4MATIC (C257),Petrol,2999,SALOON,A,-,4,"> 500,000",2020,
Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MAZDA,MAZDA6 IPM4 2.5 I-NAPPA,Petrol,2488,SALOON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,STEPWGN SPADA,Petrol,1496,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2016,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,86 GT,Petrol,1998,SALOON,C2,-,3,"<= 150,000",2013,
Private Car,MERCEDES BENZ,MERCEDES-AMG CLA35 4MATIC COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,VOXY,Petrol,1986,STATION WAGGON,C2,-,6,"<= 150,000",2011,
Private Car,VOLKSWAGEN,T-CROSS,Petrol,999,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019,
Private Car,TOYOTA,AQUA,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2015,
Private Car,MAZDA,CX-9 IPM 2.5T AWD I-NAPPA,Petrol,2488,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2019,
Private Car,MERCEDES BENZ,CLA250 COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,FJ CRUISER,Petrol,3955,STATION WAGGON,C2,-,4,"> 150,000 and <= 300,000",2015,
Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,
Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2015,
Private Car,TOYOTA,PRIUS ALPHA,Petrol,1797,STATION WAGGON,C2,-,4,"<= 150,000",2014,
Private Car,TOYOTA,SIENTA,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,SUCCEED,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2012,
Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,PORTE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2017,
Private Car,HONDA,FIT HYBRID L PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2015,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,ROVER,DEFENDER,Petrol,3946,STATION WAGGON,C2,-,5,"> 150,000 and <= 300,000",1999,
Private Car,HONDA,S2000 TYPE S,Petrol,2156,CONVERTIBLE,C2,-,1,"> 150,000 and <= 300,000",2009,
Private Car,HONDA,S2000,Petrol,1997,CONVERTIBLE,C2,-,1,"<= 150,000",1999,
Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"<= 150,000",2020,
Private Car,B.M.W.,118IA SPORT (F40),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,PRIUS,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2015,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,GLS400 (X166),Petrol,2996,STATION WAGGON,A,-,6,"> 500,000",2019,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,GLC300 4MATIC COUPE FACELIFT (C253),Petrol,1991,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,ALPHARD,Petrol,3456,STATION WAGGON,A,-,6,"> 500,000",2020,
Private Car,MAZDA,7G MAZDA3 HATCHBACK 2.0 HIGH,Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,FERRARI,F8 TRIBUTO,Petrol,3902,SALOON,A,-,1,"> 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,CROWN,Petrol,2491,SALOON,C2,-,4,"<= 150,000",1999,
Private Car,MAZDA,CX-30 2.0 HIGH,Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TOYOTA,VOXY,Petrol,1986,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2015,
Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,AUDI,Q3 45 TFSI QUATTRO S LINE,Petrol,1984,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,SIENTA HYBRID,Petrol,1496,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2017,
Private Car,HONDA,STEPWGN G,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2015,
Private Car,B.M.W.,118IA SPORT (F40),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,MERCEDES BENZ,E350 (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2019,
Private Car,B.M.W.,X5 XDRIVE40IA 7-SEATER M SPORT EDITION (G05),Petrol,2998,STATION WAGGON,A,-,6,"> 500,000",2019,
Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,260E,Petrol,2597,SALOON,C2,-,4,"<= 150,000",1992,
Private Car,MERCEDES BENZ,B220 (W247),Petrol,1991,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2019,
Private Car,MAZDA,CX-30 2.0 HIGH,Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,B.M.W.,320IA TOURING SPORT (G21),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,NISSAN,E-NV200 EVALIA 7-SEATER,Electric,-,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2019,
Private Car,TOYOTA,COROLLA FIELDER,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2014,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,MERCEDES-AMG CLA35 4MATIC COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,BENTLEY,CONTINENTAL GT,Petrol,5950,SALOON,A,-,3,"> 500,000",2020,
Private Car,TOYOTA,RAV4,Petrol,1987,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,HONDA,JAZZ,Petrol,1496,STATION WAGGON,A,-,4,"<= 150,000",2020,
Private Car,TOYOTA,SPADE F,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2012,
Private Car,TESLA,MODEL 3 PERFORMANCE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,NISSAN,SERENA E-POWER HIGHWAY STAR VIP,Petrol,1198,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,HONDA,S2000,Petrol,1997,CONVERTIBLE,C2,-,1,"<= 150,000",2000,
Private Car,B.M.W.,X7 XDRIVE40IA 7-SEATER PURE EXCELLENCE (G07),Petrol,2998,STATION WAGGON,A,-,6,"> 500,000",2020,
Private Car,LAMBORGHINI,URUS 4.0 - 5 SEATS,Petrol,3996,STATION WAGGON,A,-,4,"> 500,000",2020,
Private Car,SUBARU,XV 2.0I AWD CVT,Petrol,1995,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,HONDA,FREED SPIKE G AERO,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2013,
Private Car,HONDA,FREED HYBRID JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,5,"<= 150,000",2013,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,B.M.W.,X3 XDRIVE20IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TOYOTA,VELLFIRE,Petrol,2494,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,FREED G JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2010,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,LEXUS,LM350,Petrol,3456,STATION WAGGON,A,-,3,"> 500,000",2020,
Private Car,HONDA,STEPWGN,Petrol,1496,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,FIT HYBRID S PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2013,
Private Car,SUZUKI,JIMNY 1.5 4WD 4AT,Petrol,1462,STATION WAGGON,A,-,3,"> 150,000 and <= 300,000",2020,
Private Car,HONDA,FREED HYBRID JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,5,"<= 150,000",2011,
Private Car,KIA,MORNING SPORT A/T,Petrol,1248,SALOON,A,-,4,"<= 150,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MERCEDES BENZ,CLA250 COUPE (C118),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,MAZDA,7G MAZDA3 HATCHBACK 2.0 HIGH,Petrol,1998,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,VOLVO,XC40 T5 R-DESIGN,Petrol,1969,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,
Private Car,TESLA,MODEL 3 STANDARD RANGE PLUS REAR WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,
Private Car,HONDA,FREED G JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,6,"<= 150,000",2011,
